순번,한글명,데이터 타입,Null허용,데이터 상세 설명
1,년-월-일,DATE,N,데이터 수집 일자
2,출처 플랫폼,VARCHAR(5),N,"데이터 수집 플랫폼(다음, 네이버 등)"
3,카테고리,VARCHAR(5),N,내부 기준 카테고리
4,성별,VARCHAR(3),Y,"유저 성별(남성, 여성)"
5,연령대,VARCHAR(4),Y,"유저 연령대(10대, 20대, 30대, 40대, 50대, 60대, 70대, 80대)"
6,직업군,VARCHAR(5),Y,"유저 직업(화이트칼라, 블루칼라, 학생, 전업주부, 기타)"
7,지역_시,VARCHAR(10),Y,유저 거주지(시)
8,지역_구,VARCHAR(20),Y,유저 거주지(구)
9,제목,VARCHAR(300),N,기사 및 블로그 제목
10,접속 시간,VARCHAR(20),N,웹사이트에 접속한 시간 (년-월-일 시:분)
11,사용 시간,SMALLINT,N,웹사이트에 접속 체류시간 (초)
12,검색사이트 URL,VARCHAR(1024),N,수집된 웹사이트 URL
13,언론사 ID,SMALLINT,N,내부 기준 언론사 ID
14,언론사 이름,VARCHAR(20),N,내부 기준 언론사이름
15,기사번호,VARCHAR(50),Y,플랫폼 기준 기사 번호
16,플랫폼 기준 색션,VARCHAR(20),Y,플랫폼 기준 카테고리
17,매칭 키워드 ,VARCHAR(20),N,추출 기준 키워드
